report_date,noncomm_long,noncomm_short,net_long,open_interest
2008-10-28,6633,22378,-15745,80203
2008-11-04,5877,21886,-16009,78934
2008-11-11,6320,21561,-15241,78119
2008-11-18,8053,24147,-16094,81515
2008-11-25,7873,23970,-16097,72537
2008-12-02,8653,26617,-17964,70461
2008-12-09,8130,25580,-17450,69494
2008-12-16,9531,28014,-18483,72260
2008-12-22,9682,29001,-19319,74718
2008-12-30,10070,29767,-19697,74720
2009-01-06,9052,28938,-19886,76750
2009-01-13,7191,30503,-23312,82420
2009-01-20,7009,32524,-25515,84041
2009-01-27,6592,32327,-25735,84536
2009-02-03,7352,32765,-25413,87712
2009-02-10,8874,33665,-24791,84352
2009-02-17,7663,35317,-27654,89897
2009-02-24,7461,34955,-27494,85031
2009-03-03,7303,32200,-24897,81079
2009-03-10,12407,32498,-20091,87143
2009-03-17,15738,34601,-18863,93116
2009-03-24,16058,34697,-18639,96798
2009-03-31,15517,34375,-18858,97308
2009-04-07,18576,36243,-17667,102985
2009-04-14,17874,36978,-19104,107399
2009-04-21,18554,38262,-19708,104379
2009-04-28,19981,38089,-18108,106573
2009-05-05,18995,37674,-18679,104959
2009-05-12,18403,37295,-18892,108956
2009-05-19,18384,37342,-18958,106274
2009-05-26,19834,37649,-17815,108044
2009-06-02,21484,40201,-18717,111750
2009-06-09,19809,38619,-18810,110253
2009-06-16,21247,39772,-18525,115707
2009-06-23,18609,40413,-21804,109894
2009-06-30,18028,38108,-20080,104301
2009-07-07,17970,38946,-20976,102540
2009-07-14,17606,37758,-20152,106394
2009-07-21,23013,39089,-16076,116149
2009-07-28,25233,39825,-14592,120649
2009-08-04,27233,37780,-10547,122262
2009-08-11,27411,37719,-10308,118096
2009-08-18,27407,28517,-1110,117127
2009-08-25,28888,29944,-1056,118913
2009-09-01,28276,31697,-3421,119791
2009-09-08,27932,29780,-1848,118705
2009-09-15,26435,28423,-1988,118490
2009-09-22,24441,27701,-3260,117689
2009-09-29,22101,28380,-6279,114017
2009-10-06,24278,28954,-4676,119344
2009-10-13,25357,27119,-1762,121965
2009-10-20,32948,31156,1792,133461
