report_date,noncomm_long,noncomm_short,net_long,open_interest
2004-01-27,122043,14168,107875,426638
2004-02-03,98205,15199,83006,384082
2004-02-10,98245,23657,74588,400756
2004-02-17,110665,24009,86656,419494
2004-02-24,100503,25174,75329,401354
2004-03-02,85318,30347,54971,393471
2004-03-09,99526,24839,74687,398443
2004-03-16,102411,21889,80522,419478
2004-03-23,149981,23172,126809,495809
2004-03-30,164385,16744,147641,477748
2004-04-06,180184,13426,166758,488861
2004-04-12,178247,15641,162606,491590
2004-04-20,109227,21102,88125,425141
2004-04-27,99034,27126,71908,402488
2004-05-04,93711,30833,62878,412763
2004-05-11,87364,43948,43416,420405
2004-05-18,83503,49247,34256,424107
2004-05-25,84464,46280,38184,388147
2004-06-01,85309,34163,51146,375997
2004-06-08,83679,35734,47945,370755
2004-06-15,83876,38246,45630,364104
2004-06-22,88366,29594,58772,369861
2004-06-29,87427,27065,60362,373219
2004-07-06,81862,29915,51947,376159
2004-07-13,114326,17204,97122,413932
2004-07-20,116566,17177,99389,427529
2004-07-27,82304,29814,52490,371259
2004-08-03,86291,33068,53223,363138
2004-08-10,88822,20732,68090,372375
2004-08-17,96692,19333,77359,387473
2004-08-24,129085,18441,110644,420353
2004-08-31,135840,24076,111764,432057
2004-09-07,111993,24218,87775,410705
2004-09-14,104851,21518,83333,408358
2004-09-21,113445,18599,94846,419199
2004-09-28,129322,18413,110909,416514
2004-10-05,170013,23375,146638,454874
2004-10-12,171655,24295,147360,460019
2004-10-19,179753,24707,155046,468047
2004-10-26,192281,25046,167235,485835
2004-11-02,181551,30402,151149,476616
2004-11-09,195488,32485,163003,531015
2004-11-16,203792,34000,169792,562598
2004-11-23,204465,34275,170190,486221
2004-11-30,202731,39602,163129,486214
2004-12-07,212015,38774,173241,499152
2004-12-14,160102,32177,127925,449009
2004-12-21,163829,31811,132018,456338
2004-12-28,171894,33412,138482,461891
2005-01-04,141876,31583,110293,422961
2005-01-11,110457,39289,71168,396165
2005-01-18,108842,43838,65004,394503
2005-01-25,108245,42434,65811,390696
2005-02-01,103558,48495,55063,345407
2005-02-08,98573,60024,38549,349393
2005-02-15,111861,61774,50087,359757
2005-02-22,123571,53199,70372,375346
2005-03-01,137675,51729,85946,385154
2005-03-08,145880,45861,100019,402030
2005-03-15,181307,39143,142164,439401
2005-03-22,150243,30687,119556,395166
2005-03-29,139214,24445,114769,349778
2005-04-05,143159,25143,118016,341416
2005-04-12,150278,25570,124708,348710
2005-04-19,153355,28905,124450,355038
2005-04-26,175825,26564,149261,376622
2005-05-03,153235,36671,116564,360277
2005-05-10,134144,45002,89142,351685
2005-05-17,122727,58924,63803,342871
2005-05-24,113396,66334,47062,342642
2005-05-31,113281,78972,34309,294597
2005-06-07,114070,73481,40589,297782
2005-06-14,123715,64827,58888,310698
2005-06-21,169197,54084,115113,365726
2005-06-28,185159,44627,140532,373380
2005-07-05,148339,39379,108960,343084
2005-07-12,124657,47526,77131,329400
2005-07-19,116722,59562,57160,330662
2005-07-26,112823,57339,55484,298630
2005-08-02,119229,49881,69348,295252
2005-08-09,168050,45787,122263,341392
2005-08-16,209234,46187,163047,404108
2005-08-23,206672,41954,164718,397895
2005-08-30,161487,41210,120277,345968
2005-09-06,162177,39363,122814,360310
2005-09-13,177800,43490,134310,387063
2005-09-20,224267,53553,170714,463495
2005-09-27,222945,45499,177446,435603
2005-10-04,233241,50248,182993,441466
2005-10-11,238480,49318,189162,458416
2005-10-18,228349,46253,182096,448893
2005-10-25,209142,44274,164868,426035
2005-11-01,183116,44719,138397,407029
2005-11-08,169547,37792,131755,389793
2005-11-15,180522,40966,139556,401088
2005-11-22,203516,37634,165882,407398
2005-11-29,200819,39943,160876,412942
2005-12-06,209921,40509,169412,413222
2005-12-13,190673,31789,158884,425938
2005-12-20,185562,24357,161205,403540
2005-12-27,181574,22822,158752,394161
2006-01-03,183095,28646,154449,417121
2006-01-10,186070,38091,147979,445192
2006-01-17,191611,41834,149777,472692
2006-01-24,185454,43617,141837,472579
2006-01-31,185498,44664,140834,426167
2006-02-07,179588,50285,129303,428619
2006-02-14,169316,46774,122542,432430
2006-02-21,163702,44474,119228,431192
2006-02-28,168365,41853,126512,430801
2006-03-07,164992,45181,119811,429392
2006-03-14,141542,45876,95666,417271
2006-03-21,147921,44381,103540,416027
2006-03-28,163969,40712,123257,412112
2006-04-04,178405,42308,136097,432642
2006-04-11,174758,46710,128048,439170
2006-04-18,178042,46041,132001,463444
2006-04-25,172689,44606,128083,465442
2006-05-02,174401,46936,127465,492358
2006-05-09,171691,42354,129337,505689
2006-05-16,157633,38411,119222,495983
2006-05-23,137534,33938,103596,470591
2006-05-30,130604,30373,100231,405286
2006-06-06,130751,37060,93691,373767
2006-06-13,136441,41572,94869,382474
2006-06-20,127579,42105,85474,390281
2006-06-27,122349,43673,78676,384321
2006-07-03,125419,39129,86290,392868
2006-07-11,137378,38818,98560,427008
2006-07-18,139173,33737,105436,443519
2006-07-25,128828,28630,100198,432413
2006-08-01,131525,29149,102376,394609
2006-08-08,137723,30760,106963,402899
2006-08-15,130012,30441,99571,402702
2006-08-22,126264,32077,94187,393425
2006-08-29,120628,36569,84059,390836
2006-09-05,129699,33741,95958,420442
2006-09-12,113975,37833,76142,403755
2006-09-19,106302,36909,69393,430959
2006-09-26,102769,36471,66298,406994
2006-10-03,101699,37640,64059,413818
2006-10-10,98766,43002,55764,430807
2006-10-17,102696,44402,58294,426984
2006-10-24,98485,44989,53496,430766
2006-10-31,101286,39744,61542,427979
2006-11-07,115838,36470,79368,455640
2006-11-14,121873,34127,87746,476072
2006-11-21,117348,34014,83334,474432
2006-11-28,118632,36943,81689,423676
2006-12-05,120540,35250,85290,415169
2006-12-12,117740,35792,81948,411990
2006-12-19,106524,37238,69286,416337
2006-12-26,108971,40668,68303,415984
2007-01-03,119215,40964,78251,434040
2007-01-09,102115,49603,52512,426897
2007-01-16,108226,43463,64763,421266
2007-01-23,130510,40488,90022,457878
2007-01-30,145142,38980,106162,426462
2007-02-06,153536,37471,116065,449381
2007-02-13,167924,35609,132315,482168
2007-02-20,169127,31374,137753,494298
2007-02-27,181073,32709,148364,533271
2007-03-06,133699,27884,105815,487871
2007-03-13,126740,25251,101489,494886
2007-03-20,123244,25890,97354,467591
2007-03-27,125901,25883,100018,437206
2007-04-03,131231,32322,98909,430640
2007-04-10,150645,32505,118140,463667
2007-04-17,171025,29099,141926,484425
2007-04-24,169482,28627,140855,504386
2007-05-01,165497,27945,137552,482965
2007-05-08,170461,25445,145016,505498
2007-05-15,150795,28768,122027,495194
2007-05-22,142348,37979,104369,503146
2007-05-29,134623,38421,96202,485884
2007-06-05,143638,31718,111920,451514
2007-06-12,123350,47956,75394,481714
2007-06-19,123335,39989,83346,481432
2007-06-26,116524,56094,60430,477171
2007-07-03,107932,43789,64143,445464
2007-07-10,112479,40274,72205,460710
2007-07-17,113773,35084,78689,458921
2007-07-24,155169,27784,127385,490884
2007-07-31,114426,31688,82738,425305
2007-08-07,124478,31837,92641,429149
2007-08-14,120581,22564,98017,428617
2007-08-21,101114,31689,69425,418657
2007-08-28,105209,24359,80850,407664
2007-09-04,132256,26268,105988,432389
2007-09-11,165390,23325,142065,499547
2007-09-18,178258,19449,158809,522636
2007-09-25,207286,17788,189498,550958
2007-10-02,215348,20437,194911,559674
2007-10-09,229012,17361,211651,582150
2007-10-16,242750,17966,224784,623197
2007-10-23,227362,17493,209869,637345
2007-10-30,236961,16060,220901,673656
2007-11-06,242634,19895,222739,733716
2007-11-13,226983,17700,209283,716152
2007-11-20,209561,18010,191551,673449
2007-11-27,209969,21585,188384,623013
2007-12-04,194145,14636,179509,589490
2007-12-11,199104,15520,183584,595037
2007-12-18,200915,18369,182546,605938
2007-12-24,214001,16698,197303,636180
2007-12-31,231754,19943,211811,671656
2008-01-08,240447,22443,218004,712073
2008-01-15,246474,21946,224528,763873
2008-01-22,239466,21505,217961,729446
2008-01-29,239669,19685,219984,644842
2008-02-05,238234,20391,217843,616126
2008-02-12,242684,23537,219147,608654
2008-02-19,251966,28093,223873,632515
2008-02-26,254665,32573,222092,646391
2008-03-04,242944,33465,209479,652339
2008-03-11,241711,28924,212787,653481
2008-03-18,233445,29084,204361,677503
2008-03-25,217299,26636,190663,621294
2008-04-01,192960,22641,170319,527365
2008-04-08,199108,24421,174687,541247
2008-04-15,204758,23282,181476,560461
2008-04-22,203178,25370,177808,560056
2008-04-29,192639,28225,164414,555068
2008-05-06,188501,31406,157095,564330
2008-05-13,192389,38570,153819,569844
2008-05-20,211592,25796,185796,595544
2008-05-27,219749,26983,192766,526321
2008-06-03,199687,27975,171712,498320
2008-06-10,188919,36985,151934,500937
2008-06-17,181693,26957,154736,499699
2008-06-24,190698,35123,155575,520630
2008-07-01,226922,33504,193418,570018
2008-07-08,227049,31847,195202,576516
2008-07-15,250177,30478,219699,650891
2008-07-22,237262,27626,209636,627575
2008-07-29,213190,24836,188354,557468
2008-08-05,188484,24740,163744,521480
2008-08-12,149168,28342,120826,495782
2008-08-19,132214,30864,101350,508294
2008-08-26,134489,40604,93885,501737
2008-09-02,125015,45148,79867,505297
2008-09-09,117819,51020,66799,521693
2008-09-16,127614,56591,71023,538058
2008-09-23,146726,33664,113062,538850
2008-09-30,133121,20379,112742,490130
2008-10-07,132346,21938,110408,490812
2008-10-14,123104,20876,102228,482650
2008-10-21,111224,23216,88008,483544
2008-10-28,106351,35607,70744,481118
2008-11-04,107197,46032,61165,470721
2008-11-11,102869,50873,51996,460180
2008-11-18,100512,44478,56034,454194
2008-11-25,117984,28386,89598,397306
2008-12-02,112408,21607,90801,385038
2008-12-09,111004,21997,89007,382946
2008-12-16,136916,17661,119255,418216
2008-12-22,145758,14105,131653,426122
2008-12-30,154007,15712,138295,431499
2009-01-06,159377,14626,144751,451283
2009-01-13,152461,14703,137758,444004
2009-01-20,154652,17637,137015,470121
2009-01-27,173655,21135,152520,482631
2009-02-03,189933,21830,168103,482938
2009-02-10,198084,20871,177213,497376
2009-02-17,207366,23271,184095,533721
2009-02-24,207506,28916,178590,544159
2009-03-03,196611,24135,172476,521048
2009-03-10,183585,28031,155554,520943
2009-03-17,182066,18999,163067,531340
2009-03-24,185442,19324,166118,550217
2009-03-31,189271,21047,168224,501780
2009-04-07,169198,31725,137473,472002
2009-04-14,170290,30037,140253,464050
2009-04-21,166953,33589,133364,468927
2009-04-28,172383,32251,140132,470135
2009-05-05,177482,35434,142048,472679
2009-05-12,192947,37067,155880,494888
2009-05-19,195646,24774,170872,507912
2009-05-26,216832,26908,189924,518847
2009-06-02,226535,21652,204883,533716
2009-06-09,222682,21323,201359,522637
2009-06-16,208048,24944,183104,503662
2009-06-23,198846,27890,170956,495029
2009-06-30,197959,28224,169735,496694
2009-07-07,194828,23767,171061,489899
2009-07-14,187333,27035,160298,494289
2009-07-21,203538,22478,181060,523285
2009-07-28,200795,23936,176859,497393
2009-08-04,223607,19432,204175,519409
2009-08-11,216015,18275,197740,504419
2009-08-18,205835,24378,181457,493315
2009-08-25,209086,19476,189610,501066
2009-09-01,211406,19384,192022,506321
2009-09-08,262004,20018,241986,602564
2009-09-15,273953,18770,255183,622094
2009-09-22,274710,19185,255525,628409
2009-09-29,260419,17925,242494,575097
2009-10-06,284104,24615,259489,634969
2009-10-13,305644,25018,280626,671445
2009-10-20,301473,23119,278354,676857
2009-10-27,285493,20467,265026,651634
2009-11-03,297845,26281,271564,687283
2009-11-09,301150,28343,272807,737391
2009-11-17,299818,29053,270765,773681
2009-11-24,302732,29180,273552,693661
2009-12-01,305232,32815,272417,717426
2009-12-08,293475,28700,264775,694650
2009-12-15,291523,23556,267967,692120
2009-12-22,276401,27062,249339,688212
2009-12-29,267667,25721,241946,669947
2010-01-05,268030,25622,242408,691557
2010-01-12,277219,28859,248360,709092
2010-01-19,268663,27048,241615,722085
2010-01-26,251848,28918,222930,651455
2010-02-02,252126,29844,222282,638521
2010-02-09,227091,38446,188645,632281
2010-02-16,226220,32875,193345,609964
2010-02-23,238959,27138,211821,630275
2010-03-02,248398,25493,222905,657701
2010-03-09,248573,24936,223637,666239
2010-03-16,244938,27658,217280,675464
2010-03-23,226055,27827,198228,665203
2010-03-30,213643,26859,186784,603626
2010-04-06,253253,29401,223852,648116
2010-04-13,273080,25801,247279,696345
2010-04-20,256290,21712,234578,682040
2010-04-27,278445,27000,251445,701919
2010-05-04,288019,27028,260991,735006
2010-05-11,303412,27103,276309,828659
2010-05-18,297077,22308,274769,836014
2010-05-25,279456,26126,253330,776675
2010-06-01,279643,23448,256195,751380
2010-06-08,288306,24838,263468,787244
2010-06-15,288332,22349,265983,782911
2010-06-22,297375,23173,274202,825811
2010-06-29,294968,21945,273023,820732
2010-07-06,261878,30497,231381,787211
2010-07-13,255475,23503,231972,777861
2010-07-20,236052,37238,198814,777591
2010-07-27,233465,30735,202730,727447
2010-08-03,230223,28667,201556,695147
2010-08-10,232629,24665,207964,703935
2010-08-17,252186,25222,226964,743672
2010-08-24,270100,24644,245456,763300
2010-08-31,287261,26348,260913,781195
2010-09-07,291762,27129,264633,799564
2010-09-14,302454,30466,271988,822441
2010-09-21,300166,27880,272286,831929
2010-09-28,311557,31177,280380,840745
2010-10-05,315769,32307,283462,873968
2010-10-12,316244,33990,282254,889504
2010-10-19,309667,33751,275916,909477
2010-10-26,290762,31293,259469,862669
2010-11-02,290865,37327,253538,897868
2010-11-09,305007,37706,267301,979800
2010-11-16,272708,33357,239351,924518
2010-11-23,269561,32318,237243,813977
2010-11-30,273714,28915,244799,804955
2010-12-07,277239,25811,251428,829161
2010-12-14,265860,24436,241424,818562
2010-12-21,257468,27568,229900,800320
2010-12-28,263992,26312,237680,803377
2011-01-04,256944,32221,224723,796505
2011-01-11,241451,39565,201886,795947
2011-01-18,244054,54620,189434,801933
2011-01-25,234717,58889,175828,735631
2011-02-01,222390,51684,170706,641234
2011-02-08,237138,45857,191281,653146
2011-02-15,243160,43735,199425,664111
2011-02-22,260938,47688,213250,725747
2011-03-01,275184,44859,230325,741438
2011-03-08,268600,42527,226073,740976
2011-03-15,251258,45643,205615,735415
2011-03-22,245124,34589,210535,741348
2011-03-29,249195,35212,213983,672647
2011-04-05,271713,40955,230758,710994
2011-04-12,270364,41471,228893,720941
2011-04-19,291192,39482,251710,780145
2011-04-26,281023,42712,238311,763754
2011-05-03,278126,41623,236503,805910
2011-05-10,255815,42851,212964,788164
